№;ФИО;Номер телефона;Количество минут, оплаченных абонентом;Количество минут, которые наговорил абонент;Стоимость дополнительной минуты;Адрес;Сумма, оплаченная за дополнительные минуты
5205;Лебедева Эмилия Ефимовна;8 770 983 14 87;229;177;15;клх Пинега, наб. Просвещения, д. 842 к. 319, 786458;0
5206;тов. Шарапова Наталья Никифоровна;8 882 605 40 60;209;495;38;п. Курчатов, пр. Огородный, д. 5 стр. 5/2, 515031;10868
5207;Максимильян Еремеевич Овчинников;8 587 967 4931;1;115;19;с. Балтийск, ул. Шишкина, д. 836, 725895;2166
5208;Мясников Емельян Игнатьевич;89307156139;238;157;39;п. Воркута, пр. Кузнецова, д. 5 стр. 384, 945549;0
5209;Осипов Ипат Харлампьевич;8 780 383 08 28;125;324;25;к. Переславль-Залесский, бул. Блюхера, д. 7/8 к. 54, 863606;4975
5210;Феврония Ждановна Панова;89967654244;253;408;18;п. Екатеринбург, бул. Астраханский, д. 97, 767017;2790
5211;Юлия Павловна Рябова;8 052 610 46 49;393;514;12;к. Оха, алл. Космодемьянской, д. 154, 676182;1452
5212;Евгения Феликсовна Юдина;8 (835) 612-5847;212;265;6;с. Псебай, алл. Коминтерна, д. 9/8 стр. 519, 900649;318
5213;Кудряшова Светлана Львовна;84121897343;239;166;45;п. Ханты-Мансийск, алл. Советской Армии, д. 6/5, 411300;0
5214;г-жа Исакова Прасковья Богдановна;8 884 322 10 60;127;34;27;клх Назрань, пр. Киевский, д. 9, 759195;0
5215;Таисия Николаевна Гордеева;8 891 484 0208;31;359;39;г. Новая Игирма, ш. Дальнее, д. 934 стр. 631, 242899;12792
5216;Харитонов Григорий Васильевич;8 522 457 19 53;428;158;49;клх Сызрань, алл. Мирная, д. 8 стр. 8/4, 349801;0
5217;Агафья Юльевна Овчинникова;87862699007;498;595;23;к. Быково (метеост.), бул. Докучаева, д. 682 стр. 643, 880671;2231
5218;Юлия Вячеславовна Евсеева;+7 (425) 834-2303;151;49;46;клх Чайковский, алл. Космонавтов, д. 872 стр. 81, 838826;0
5219;Полякова Виктория Натановна;8 611 283 21 35;416;508;13;клх Томпа, ул. Новостройка, д. 14 стр. 8, 639654;1196
5220;г-н Копылов Ерофей Аверьянович;+7 (687) 801-18-54;243;334;1;клх Жуковский, пр. Дзержинского, д. 404 к. 46, 570190;91
5221;Любовь Тимуровна Колесникова;+70927843927;471;349;11;ст. Элиста, ш. Курганное, д. 974 к. 32, 227901;0
5222;Тимофеева Олимпиада Тимуровна;8 465 764 45 41;29;239;47;клх Череповец, пр. Путевой, д. 9/8 стр. 8/6, 743420;9870
5223;Бурова Лариса Юльевна;+74897837005;227;462;50;г. Озеры, ш. Угольное, д. 2 стр. 3/5, 451466;11750
5224;Лазарева Антонина Кузьминична;+7 (967) 582-9151;156;243;21;к. Забайкальск, бул. Тракторный, д. 403 к. 92, 784229;1827
5225;Ермакова Антонина Викторовна;8 833 808 0489;279;177;27;д. Махачкала, бул. Славянский, д. 85, 055853;0
5226;Ефимова Лукия Рубеновна;8 (830) 836-7046;370;284;40;п. Урюпинск, пер. Заливный, д. 73, 133334;0
5227;Ирина Романовна Соловьева;+7 018 179 51 22;290;17;34;г. Пушкино (Моск.), ш. Геологов, д. 9 стр. 9/8, 514111;0
5228;Август Изотович Колесников;8 (985) 786-0100;152;494;18;д. Саров (Морд.), наб. Путевая, д. 874 стр. 4, 745688;6156
5229;Доронин Феофан Яковлевич;8 638 247 81 31;261;566;32;к. Избербаш, пер. Сиреневый, д. 4 стр. 1, 658238;9760
5230;Любовь Владиславовна Галкина;+7 035 615 46 61;316;335;26;клх Черусти, пер. Щетинкина, д. 5/7, 367683;494
5231;Илья Федосьевич Кудрявцев;+72310501843;478;459;19;клх Талдом, наб. Механическая, д. 330 стр. 178, 766430;0
5232;Галкин Гаврила Иларионович;8 824 861 7188;109;226;9;п. Эльбрус, наб. Виноградная, д. 475 к. 17, 247393;1053
5233;Носов Никон Валерьевич;+7 (566) 003-16-88;421;270;22;клх Обоянь, наб. Дальневосточная, д. 9, 982581;0
5234;Николаева Зинаида Васильевна;8 (678) 527-0757;33;98;2;ст. Шуя, ш. Ульянова, д. 6 к. 4/2, 020622;130
5235;Гусев Гедеон Алексеевич;8 (960) 367-5440;356;100;27;г. Углич, ш. Морское, д. 844 к. 3, 997941;0
5236;Антонова Ия Филипповна;8 (799) 016-0460;100;62;1;с. Чита, ш. Промышленное, д. 5 стр. 126, 160287;0
5237;Ладимир Аверьянович Фокин;8 (738) 955-81-95;385;177;32;д. Охотск, алл. Угольная, д. 86 к. 866, 910963;0
5238;Авдеев Степан Филатович;+7 (877) 214-1305;3;260;36;с. Элиста, ш. Энергетическое, д. 77 стр. 9, 783259;9252
5239;Фадеева Валентина Мироновна;+7 (198) 588-32-75;289;75;38;клх Бомнак, пр. 50 лет Октября, д. 7 стр. 49, 661053;0
5240;Беспалова Галина Георгиевна;+7 511 071 96 83;111;196;19;г. Алагир, пр. Кольцова, д. 823 стр. 14, 174135;1615
5241;Филиппова Анжелика Валентиновна;8 891 007 7124;106;544;6;к. Костомукша, пер. Гастелло, д. 7 стр. 5/4, 917553;2628
5242;Маргарита Ильинична Крюкова;+76399111698;317;565;40;г. Шамары, бул. Садовый, д. 6/1 к. 2, 214532;9920
5243;Мина Исидорович Филиппов;+7 188 433 9021;270;100;15;д. Когалым, ул. Циолковского, д. 472 стр. 5/1, 285634;0
5244;Аверкий Всеволодович Михеев;+7 (117) 110-06-10;396;493;46;ст. Сергиев Посад, наб. Курчатова, д. 934 к. 3/1, 578164;4462
5245;Никитина Ираида Эдуардовна;8 (611) 826-41-38;227;280;16;ст. Подольск, пер. Подлесный, д. 2/2, 986902;848
5246;Филарет Афанасьевич Пономарев;8 605 605 6201;464;494;38;ст. Белгород, пр. Луначарского, д. 8 стр. 38, 879825;1140
5247;Ия Матвеевна Сазонова;8 (748) 748-02-79;168;225;14;д. Углич, ш. Абрикосовое, д. 202 к. 53, 020070;798
5248;Королев Каллистрат Давыдович;+7 (646) 714-5353;80;482;12;к. Петушки, пер. Чайкиной, д. 34 к. 100, 353590;4824
5249;Калашникова Пелагея Ильинична;+7 770 133 0085;20;256;37;с. Усть-Кут, пер. Крымский, д. 3 стр. 906, 499894;8732
5250;Ксения Анатольевна Кабанова;81157661177;7;333;27;ст. Дудинка, пер. Крымский, д. 75 стр. 3, 598204;8802
5251;Влас Валентинович Калинин;+7 572 171 1137;377;570;31;к. Воронеж, пер. Прудный, д. 82 стр. 1/9, 114189;5983
5252;Лора Федоровна Логинова;+7 (113) 238-7057;334;78;6;д. Усть-Баргузин, ш. Выгонное, д. 736 к. 5, 351284;0
5253;Маргарита Руслановна Молчанова;8 825 038 7214;241;263;47;г. Ковров, бул. Титова, д. 1/4, 068040;1034
5254;Карпова Лидия Константиновна;8 446 340 4708;195;242;40;д. Амурск, алл. Стахановская, д. 4 к. 6/4, 222796;1880
5255;Нифонт Алексеевич Бирюков;8 817 640 7580;207;473;25;д. Кущевская, бул. Бульварный, д. 458 к. 565, 275299;6650
5256;Эмилия Михайловна Ларионова;8 511 998 8188;324;593;46;п. Усть-Кулом, бул. Стадионный, д. 582 к. 2/9, 477274;12374
5257;Фадеева Василиса Владиславовна;+7 (649) 988-98-73;403;477;48;ст. Вязьма, наб. Коммунаров, д. 80 к. 803, 219448;3552
5258;Игнатий Аверьянович Горшков;8 (846) 941-95-37;9;500;47;к. Оленегорск (Якут.), ул. Никитина, д. 830 стр. 6, 458006;23077
5259;Федосеева Виктория Руслановна;+7 (756) 252-6095;204;43;14;к. Суздаль, пр. Димитрова, д. 4/8 стр. 2/7, 596114;0
5260;г-жа Суханова Регина Ефимовна;8 498 578 75 22;228;532;1;ст. Элиста, бул. Разина, д. 5/1, 356232;304
5261;Самсонов Николай Фролович;+7 (566) 701-74-91;380;230;28;п. Оленек, пр. Дружбы, д. 613, 436866;0
5262;Зиновьев Сократ Ермолаевич;+7 850 306 67 60;114;349;29;к. Мирный, ш. Дачное, д. 8/2 к. 9, 236639;6815
5263;Терентьев Эрнест Давыдович;8 (231) 831-6660;87;536;31;п. Волхов, бул. Цветочный, д. 1, 402526;13919
5264;Ситникова Елена Афанасьевна;8 (046) 162-9408;61;210;44;с. Теберда, наб. Просвещения, д. 6, 625929;6556
5265;Стрелкова Регина Рубеновна;+7 300 962 08 90;204;214;22;г. Великие Луки, наб. Геологическая, д. 516 стр. 4, 520985;220
5266;Кононова Людмила Петровна;+7 (273) 080-63-14;155;568;48;г. Катайск, пр. Кузнечный, д. 539 к. 9/5, 913745;19824
5267;Зоя Станиславовна Белозерова;+7 440 360 7827;246;181;5;г. Пермь, ул. Мельничная, д. 508 к. 50, 754478;0
5268;Евсеев Иван Яковлевич;+7 (704) 607-1553;343;566;36;клх Тула, пер. Шоссейный, д. 384 стр. 7/7, 685879;8028
5269;Нинель Натановна Новикова;+7 376 453 8855;466;372;33;с. Малая Вишера, пер. Курортный, д. 9/3 к. 93, 643712;0
5270;Горшков Арсений Матвеевич;+7 380 582 1442;175;94;31;к. Кострома, бул. Щербакова, д. 1/4, 933353;0
5271;Николаев Иосиф Богданович;+7 623 816 5374;8;353;44;к. Новая Игирма, пер. Восьмого Марта, д. 78, 478780;15180
5272;Пахомова Марина Тимофеевна;8 (382) 218-1630;83;546;36;ст. Уварово, наб. Максима Горького, д. 7/4 стр. 59, 659814;16668
5273;Терентьев Ювеналий Андреевич;8 (651) 616-9493;478;282;44;ст. Белый Яр (Томск.), пр. Пушкина, д. 283, 793600;0
5274;Элеонора Оскаровна Журавлева;+73811593518;145;13;31;п. Дно, пр. Макарова, д. 6/8, 576643;0
5275;Екатерина Андреевна Ситникова;8 050 234 9166;284;430;41;п. Нефтегорск (Самар.), ш. Коммунистическое, д. 1 к. 6, 923153;5986
5276;Артемий Глебович Авдеев;8 306 329 63 82;210;65;47;с. Великий Устюг, бул. Главный, д. 8/8, 445790;0
5277;Кириллова Регина Ильинична;8 051 259 55 40;402;243;32;с. Кисловодск, ул. Победа, д. 741 к. 5, 651548;0
5278;Гостомысл Афанасьевич Блохин;+7 074 670 24 27;354;318;15;к. Мезень, наб. Советская, д. 1, 745977;0
5279;Стрелкова Анжелика Дмитриевна;+7 (125) 149-1279;154;184;29;клх Нурлат, бул. О.Кошевого, д. 4/2 стр. 4/2, 061804;870
5280;Осип Августович Савин;+7 (555) 916-5957;432;338;28;с. Юрюзань, ул. Звездная, д. 7 стр. 623, 207112;0
5281;Остап Матвеевич Соболев;+79783347316;437;488;4;п. Краснокамск, пр. Производственный, д. 5/4 стр. 6, 532902;204
5282;Ефимова Глафира Георгиевна;+7 168 938 22 64;487;237;40;п. Лабытнанги, пр. Городской, д. 5 стр. 745, 420340;0
